stop_id,stop_name,stop_lat,stop_lon
STIB-5311,ARSENAL,50.826403,4.397188
STIB-5312,PETILLON,50.829295,4.402321
STIB-5313,KONKEL,50.841997,4.451611
STIB-5315,SCHAERBEEK GARE,50.877411,4.379423
STIB-5317G,HOP. PAUL BRIEN,50.868018,4.385362
STIB-5320,SCHAERBEEK GARE,50.878122,4.380216
STIB-5350G,HOP. PAUL BRIEN,50.868924,4.384672
STIB-5352,PETILLON,50.829546,4.402804
STIB-5354H,LEOPOLD III,50.857047,4.397456
STIB-5355F,CHAZAL,50.861129,4.391336
STIB-5356,HELIOTROPES,50.863513,4.385826
STIB-5357,LOUIS BERTRAND,50.866751,4.385363
STIB-5359,DEMOLDER,50.872251,4.379834
STIB-5361,BORDET STATION,50.878442,4.409805
STIB-5361F,BORDET STATION,50.878456,4.409817
STIB-5362,BORDET STATION,50.878099,4.409958
STIB-5362F,BORDET STATION,50.878141,4.409916
STIB-5398F,POLYCL. BRUGMANN,50.889208,4.334082
STIB-5399F,POLYCL. BRUGMANN,50.889039,4.334672
STIB-5400,STADE,50.893407,4.332111
STIB-5402,STIENON,50.890647,4.330038
STIB-5403,HOPITAL BRUGMANN,50.886036,4.333523
STIB-5404,BAILLI,50.826837,4.364068
STIB-5405,STEPHANIE,50.832985,4.357751
STIB-5406,DEFACQZ,50.828607,4.36228
STIB-5407,ULB,50.814061,4.384119
STIB-5407F,ULB,50.814061,4.384119
STIB-5408,VLEURGAT,50.82298,4.368042
STIB-5409,ABBAYE,50.818926,4.370739
STIB-5413F,SOLBOSCH,50.810503,4.385857
STIB-5414F,MARIE-JOSE,50.806384,4.387635
STIB-5415,BRESIL,50.802634,4.390584
STIB-5415F,BRESIL,50.802634,4.390584
STIB-5416,BOONDAEL GARE,50.801169,4.393449
STIB-5416F,BOONDAEL GARE,50.801169,4.393449
STIB-5417F,HIPPOD. BOITSFORT,50.796702,4.398927
STIB-5420F,BOITSFORT GARE,50.795447,4.407814
STIB-5421,DELLEUR,50.795733,4.413573
STIB-5422,WIENER,50.798194,4.418753
STIB-5423,FAUCONNERIE,50.801015,4.422699
STIB-5424,HIPPOD. BOITSFORT,50.797123,4.394944
STIB-5426,HERRMANN-DEBROUX,50.811881,4.42782
STIB-5427,HERRMANN-DEBROUX,50.811647,4.427621
STIB-5430,FAUCONNERIE,50.800907,4.422359
STIB-5449F,HIPPOD. BOITSFORT,50.7968,4.398446
STIB-5451,BOONDAEL GARE,50.801438,4.393009
STIB-5451F,BOONDAEL GARE,50.801438,4.393009
STIB-5452,WIENER,50.79814,4.418256
STIB-5453,DELLEUR,50.795651,4.412956
STIB-5454F,BOITSFORT GARE,50.795593,4.406981
STIB-5458,GENDARMES,50.799463,4.379178
STIB-5459,BRESIL,50.80286,4.390383
STIB-5459F,BRESIL,50.802854,4.390373
STIB-5460F,MARIE-JOSE,50.806653,4.387677
STIB-5461F,SOLBOSCH,50.810834,4.385835
STIB-5462F,ULB,50.813657,4.384332
STIB-5466,ABBAYE,50.819834,4.370512
STIB-5467,VLEURGAT,50.824108,4.366996
STIB-5468,JEANNE,50.8155,4.383566
STIB-5469,DEFACQZ,50.829416,4.361541
STIB-5470,STEPHANIE,50.833183,4.357651
STIB-5471,HOPITAL BRUGMANN,50.886216,4.333964
STIB-5472,STIENON,50.890881,4.330308
STIB-5474,STADE,50.893839,4.331926
STIB-5475,BAILLI,50.827628,4.363358
