trip_id,route_id
STIB-124698626288866001,STIB-15
STIB-124698627288866001,STIB-16
STIB-124721119288866001,STIB-15
STIB-124721120288866001,STIB-15
STIB-124721121288866001,STIB-15
STIB-124698273288857501,STIB-15
STIB-124698274288857501,STIB-15
STIB-124698275288857501,STIB-15
STIB-124698276288857501,STIB-15
STIB-124698277288857501,STIB-15
STIB-124698278288857501,STIB-15
STIB-124698279288857501,STIB-15
STIB-124698280288857501,STIB-16
STIB-124698281288857501,STIB-15
STIB-124698282288857501,STIB-15
STIB-124698283288857501,STIB-15
STIB-124698284288857501,STIB-15
STIB-124698285288857501,STIB-15
STIB-124698286288857501,STIB-15
STIB-124698287288857501,STIB-15
STIB-124698288288857501,STIB-15
STIB-124698289288857501,STIB-15
STIB-124698290288857501,STIB-16
STIB-124698291288857501,STIB-15
STIB-124698292288857501,STIB-15
STIB-124698293288857501,STIB-15
STIB-124698294288857501,STIB-15
STIB-124698295288857501,STIB-15
STIB-124698296288857501,STIB-15
STIB-124698297288857501,STIB-15
STIB-124698298288857501,STIB-15
STIB-124698299288857501,STIB-15
STIB-124698300288857501,STIB-15
STIB-124698301288857501,STIB-15
STIB-124698302288857501,STIB-15
STIB-124698303288857501,STIB-15
STIB-124698304288857501,STIB-15
STIB-124698305288857501,STIB-15
STIB-124698306288857501,STIB-15
STIB-124698307288857501,STIB-15
STIB-124698308288857501,STIB-15
STIB-124698310288857501,STIB-15
STIB-124698311288857501,STIB-15
STIB-124698312288857501,STIB-15
STIB-124698313288857501,STIB-15
STIB-124698315288857501,STIB-15
STIB-124698316288857501,STIB-15
STIB-124698317288857501,STIB-15
STIB-124698318288857501,STIB-15
STIB-124698319288857501,STIB-15
STIB-124698320288857501,STIB-15
STIB-124698322288857501,STIB-15
STIB-124698323288857501,STIB-15
STIB-124698324288857501,STIB-15
STIB-124698325288857501,STIB-15
STIB-124698326288857501,STIB-15
STIB-124698327288857501,STIB-15
STIB-124698328288857501,STIB-15
STIB-124698329288857501,STIB-15
STIB-124698330288857501,STIB-15
STIB-124698331288857501,STIB-15
STIB-124698332288857501,STIB-15
STIB-124698333288857501,STIB-15
STIB-124698336288857501,STIB-15
STIB-124698337288857501,STIB-15
STIB-124698339288857501,STIB-15
STIB-124698340288857501,STIB-15
STIB-124698341288857501,STIB-15
STIB-124698343288857501,STIB-15
STIB-124698344288857501,STIB-15
STIB-124698345288857501,STIB-15
STIB-124698346288857501,STIB-15
STIB-124698347288857501,STIB-15
STIB-124698349288857501,STIB-15
STIB-124698350288857501,STIB-15
STIB-124698351288857501,STIB-15
STIB-124698352288857501,STIB-15
STIB-124698354288857501,STIB-15
STIB-124698355288857501,STIB-15
STIB-124698356288857501,STIB-15
STIB-124698357288857501,STIB-15
STIB-124698358288857501,STIB-15
STIB-124698359288857501,STIB-15
STIB-124698360288857501,STIB-15
STIB-124698361288857501,STIB-15
STIB-124698362288857501,STIB-15
STIB-124698363288857501,STIB-15
STIB-124698364288857501,STIB-15
STIB-124698365288857501,STIB-15
STIB-124698366288857501,STIB-15
STIB-124698367288857501,STIB-16
STIB-124698368288857501,STIB-15
STIB-124698369288857501,STIB-15
STIB-124698370288857501,STIB-16
STIB-124698371288857501,STIB-15
STIB-124698372288857501,STIB-15
STIB-124698373288857501,STIB-15
STIB-124698374288857501,STIB-15
STIB-124698375288857501,STIB-15
STIB-124698376288857501,STIB-15
STIB-124698379288857501,STIB-15
STIB-124698380288857501,STIB-15
STIB-124698381288857501,STIB-15
STIB-124698382288857501,STIB-15
STIB-124698383288857501,STIB-15
STIB-124698384288857501,STIB-15
STIB-124698385288857501,STIB-15
STIB-124698386288857501,STIB-15
STIB-124698387288857501,STIB-15
STIB-124698388288857501,STIB-16
STIB-124698389288857501,STIB-15
STIB-124698390288857501,STIB-15
STIB-124698392288857501,STIB-15
STIB-124698393288857501,STIB-15
STIB-124698394288857501,STIB-15
STIB-124698395288857501,STIB-15
STIB-124698396288857501,STIB-15
STIB-124698397288857501,STIB-15
STIB-124698398288857501,STIB-15
STIB-124698399288857501,STIB-15
STIB-124698400288857501,STIB-15
STIB-124698401288857501,STIB-15
STIB-124698402288857501,STIB-15
STIB-124698403288857501,STIB-15
STIB-124698404288857501,STIB-15
STIB-124698405288857501,STIB-16
STIB-124698406288857501,STIB-15
STIB-124698407288857501,STIB-15
STIB-124698408288857501,STIB-15
STIB-124662631288742601,STIB-15
STIB-124662632288742601,STIB-15
STIB-124662633288742601,STIB-15
STIB-124662634288742601,STIB-15
STIB-124662635288742601,STIB-15
STIB-124662636288742601,STIB-15
STIB-124662637288742601,STIB-15
STIB-124662638288742601,STIB-15
STIB-124662639288742601,STIB-15
STIB-124662640288742601,STIB-16
STIB-124662641288742601,STIB-15
STIB-124662642288742601,STIB-15
STIB-124662643288742601,STIB-15
STIB-124662644288742601,STIB-15
STIB-124662645288742601,STIB-15
STIB-124662646288742601,STIB-15
STIB-124662647288742601,STIB-15
STIB-124662648288742601,STIB-15
STIB-124662649288742601,STIB-15
STIB-124662650288742601,STIB-16
STIB-124662651288742601,STIB-15
STIB-124662652288742601,STIB-15
STIB-124662653288742601,STIB-15
STIB-124662654288742601,STIB-15
STIB-124662655288742601,STIB-15
STIB-124662656288742601,STIB-15
STIB-124662657288742601,STIB-15
STIB-124662658288742601,STIB-15
STIB-124662660288742601,STIB-15
STIB-124662661288742601,STIB-15
STIB-124662662288742601,STIB-15
STIB-124662663288742601,STIB-15
STIB-124662664288742601,STIB-15
STIB-124662665288742601,STIB-15
STIB-124662666288742601,STIB-15
STIB-124662667288742601,STIB-15
STIB-124662668288742601,STIB-15
STIB-124662669288742601,STIB-15
STIB-124662670288742601,STIB-15
STIB-124662671288742601,STIB-15
STIB-124662672288742601,STIB-15
